Format Version,1.21,Take Name,chair_hatra_vegso,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 12.19.02 AM,Total Frames in Take,1679,Total Exported Frames,1679,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
134,1.116667,0.361776,0.344053,0.905854
135,1.125000,0.361766,0.344055,0.905857
136,1.133333,0.361766,0.344059,0.905866
137,1.141667,0.361764,0.344060,0.905864
138,1.150000,0.361766,0.344059,0.905868
139,1.158333,0.361770,0.344055,0.905872
140,1.166667,0.361769,0.344056,0.905869
141,1.175000,0.361770,0.344055,0.905857
142,1.183333,0.361765,0.344066,0.905861
143,1.191667,0.361768,0.344059,0.905853
144,1.200000,0.361769,0.344060,0.905851
145,1.208333,0.361771,0.344065,0.905844
146,1.216667,0.361762,0.344071,0.905847
147,1.225000,0.361775,0.344062,0.905855
148,1.233333,0.361768,0.344053,0.905865
149,1.241667,0.361770,0.344069,0.905860
150,1.250000,0.361770,0.344066,0.905858
151,1.258333,0.361769,0.344062,0.905867
152,1.266667,0.361774,0.344059,0.905862
153,1.275000,0.361768,0.344063,0.905858
154,1.283333,0.361777,0.344059,0.905848
155,1.291667,0.361775,0.344057,0.905849
156,1.300000,0.361778,0.344063,0.905846
157,1.308333,0.361781,0.344063,0.905846
158,1.316667,0.361779,0.344060,0.905849
159,1.325000,0.361782,0.344057,0.905851
160,1.333333,0.361784,0.344058,0.905853
161,1.341667,0.361779,0.344068,0.905852
162,1.350000,0.361784,0.344065,0.905852
163,1.358333,0.361792,0.344060,0.905854
164,1.366667,0.361788,0.344060,0.905855
165,1.375000,0.361798,0.344063,0.905846
166,1.383333,0.361793,0.344062,0.905843
167,1.391667,0.361804,0.344063,0.905837
168,1.400000,0.361800,0.344068,0.905839
169,1.408333,0.361803,0.344067,0.905839
170,1.416667,0.361803,0.344071,0.905836
171,1.425000,0.361806,0.344066,0.905837
172,1.433333,0.361817,0.344062,0.905848
173,1.441667,0.361816,0.344063,0.905846
174,1.450000,0.361814,0.344070,0.905844
175,1.458333,0.361817,0.344061,0.905835
176,1.466667,0.361819,0.344064,0.905840
177,1.475000,0.361821,0.344068,0.905840
178,1.483333,0.361819,0.344068,0.905833
179,1.491667,0.361816,0.344070,0.905831
180,1.500000,0.361830,0.344064,0.905826
181,1.508333,0.361825,0.344071,0.905832
182,1.516667,0.361825,0.344069,0.905831
183,1.525000,0.361826,0.344068,0.905832
184,1.533333,0.361823,0.344069,0.905831
185,1.541667,0.361824,0.344069,0.905826
186,1.550000,0.361834,0.344070,0.905831
187,1.558333,0.361831,0.344071,0.905826
188,1.566667,0.361825,0.344081,0.905822
189,1.575000,0.361838,0.344076,0.905821
190,1.583333,0.361838,0.344072,0.905813
191,1.591667,0.361840,0.344071,0.905811
192,1.600000,0.361847,0.344087,0.905809
193,1.608333,0.361853,0.344083,0.905801
194,1.616667,0.361860,0.344088,0.905793
195,1.625000,0.361872,0.344083,0.905785
196,1.633333,0.361863,0.344094,0.905786
197,1.641667,0.361876,0.344094,0.905779
198,1.650000,0.361873,0.344103,0.905777
199,1.658333,0.361878,0.344092,0.905767
200,1.666667,0.361886,0.344099,0.905764
201,1.675000,0.361890,0.344104,0.905764
202,1.683333,0.361890,0.344103,0.905759
203,1.691667,0.361891,0.344103,0.905765
204,1.700000,0.361888,0.344098,0.905767
205,1.708333,0.361887,0.344108,0.905765
206,1.716667,0.361894,0.344100,0.905769
207,1.725000,0.361900,0.344103,0.905769
208,1.733333,0.361900,0.344097,0.905766
209,1.741667,0.361898,0.344100,0.905763
210,1.750000,0.361894,0.344100,0.905762
211,1.758333,0.361902,0.344104,0.905760
212,1.766667,0.361900,0.344103,0.905760
213,1.775000,0.361905,0.344101,0.905759
214,1.783333,0.361898,0.344099,0.905761
215,1.791667,0.361897,0.344107,0.905758
216,1.800000,0.361910,0.344102,0.905761
217,1.808333,0.361903,0.344102,0.905761
218,1.816667,0.361907,0.344104,0.905768
219,1.825000,0.361901,0.344102,0.905767
220,1.833333,0.361906,0.344099,0.905760
221,1.841667,0.361903,0.344107,0.905758
222,1.850000,0.361908,0.344102,0.905762
223,1.858333,0.361909,0.344096,0.905761
224,1.866667,0.361904,0.344103,0.905759
225,1.875000,0.361906,0.344111,0.905756
226,1.883333,0.361906,0.344110,0.905759
227,1.891667,0.361906,0.344101,0.905759
228,1.900000,0.361902,0.344110,0.905759
229,1.908333,0.361909,0.344105,0.905757
230,1.916667,0.361906,0.344104,0.905766
231,1.925000,0.361906,0.344107,0.905758
232,1.933333,0.361908,0.344101,0.905763
233,1.941667,0.361907,0.344108,0.905757
234,1.950000,0.361910,0.344103,0.905756
235,1.958333,0.361909,0.344102,0.905758
236,1.966667,0.361916,0.344102,0.905757
237,1.975000,0.361911,0.344103,0.905755
238,1.983333,0.361910,0.344102,0.905760
239,1.991667,0.361909,0.344102,0.905757
240,2.000000,0.361911,0.344108,0.905759
241,2.008333,0.361915,0.344102,0.905757
242,2.016667,0.361914,0.344100,0.905761
243,2.025000,0.361909,0.344106,0.905759
244,2.033333,0.361913,0.344105,0.905755
245,2.041667,0.361906,0.344111,0.905756
246,2.050000,0.361914,0.344104,0.905757
247,2.058333,0.361910,0.344104,0.905758
248,2.066667,0.361906,0.344106,0.905754
249,2.075000,0.361908,0.344111,0.905756
250,2.083333,0.361915,0.344112,0.905757
251,2.091667,0.361911,0.344104,0.905760
252,2.100000,0.361919,0.344106,0.905760
253,2.108333,0.361909,0.344109,0.905759
254,2.116667,0.361914,0.344106,0.905759
255,2.125000,0.361914,0.344101,0.905757
256,2.133333,0.361912,0.344105,0.905762
257,2.141667,0.361911,0.344108,0.905757
258,2.150000,0.361908,0.344106,0.905753
259,2.158333,0.361909,0.344112,0.905755
260,2.166667,0.361911,0.344109,0.905752
261,2.175000,0.361912,0.344100,0.905760
262,2.183333,0.361909,0.344106,0.905758
263,2.191667,0.361908,0.344110,0.905756
264,2.200000,0.361910,0.344105,0.905763
265,2.208333,0.361913,0.344103,0.905763
266,2.216667,0.361915,0.344102,0.905755
267,2.225000,0.361915,0.344105,0.905758
268,2.233333,0.361911,0.344111,0.905755
269,2.241667,0.361912,0.344111,0.905757
270,2.250000,0.361912,0.344098,0.905758
271,2.258333,0.361913,0.344106,0.905756
272,2.266667,0.361914,0.344107,0.905751
273,2.275000,0.361917,0.344102,0.905760
274,2.283333,0.361912,0.344100,0.905758
275,2.291667,0.361909,0.344106,0.905760
276,2.300000,0.361907,0.344116,0.905753
277,2.308333,0.361912,0.344106,0.905757
278,2.316667,0.361916,0.344101,0.905760
279,2.325000,0.361910,0.344107,0.905760
280,2.333333,0.361912,0.344108,0.905754
281,2.341667,0.361916,0.344103,0.905753
282,2.350000,0.361914,0.344102,0.905756
283,2.358333,0.361910,0.344114,0.905756
284,2.366667,0.361908,0.344114,0.905761
285,2.375000,0.361918,0.344113,0.905759
286,2.383333,0.361918,0.344102,0.905759
287,2.391667,0.361912,0.344100,0.905762
288,2.400000,0.361915,0.344111,0.905756
289,2.408333,0.361912,0.344111,0.905760
290,2.416667,0.361918,0.344102,0.905756
291,2.425000,0.361915,0.344101,0.905761
292,2.433333,0.361914,0.344100,0.905756
293,2.441667,0.361908,0.344110,0.905760
294,2.450000,0.361909,0.344108,0.905756
295,2.458333,0.361919,0.344102,0.905754
296,2.466667,0.361914,0.344106,0.905757
297,2.475000,0.361910,0.344113,0.905755
298,2.483333,0.361918,0.344102,0.905759
299,2.491667,0.361917,0.344099,0.905762
300,2.500000,0.361915,0.344103,0.905761
301,2.508333,0.361909,0.344109,0.905760
302,2.516667,0.361911,0.344105,0.905759
303,2.525000,0.361921,0.344106,0.905760
304,2.533333,0.361915,0.344105,0.905762
305,2.541667,0.361918,0.344098,0.905759
306,2.550000,0.361918,0.344102,0.905759
307,2.558333,0.361916,0.344106,0.905759
308,2.566667,0.361916,0.344108,0.905763
309,2.575000,0.361913,0.344103,0.905764
310,2.583333,0.361920,0.344101,0.905761
311,2.591667,0.361913,0.344103,0.905757
312,2.600000,0.361913,0.344098,0.905765
313,2.608333,0.361918,0.344100,0.905764
314,2.616667,0.361915,0.344103,0.905766
315,2.625000,0.361917,0.344105,0.905762
316,2.633333,0.361918,0.344106,0.905757
317,2.641667,0.361915,0.344101,0.905760
318,2.650000,0.361910,0.344106,0.905771
319,2.658333,0.361910,0.344107,0.905759
320,2.666667,0.361919,0.344102,0.905762
321,2.675000,0.361916,0.344104,0.905762
322,2.683333,0.361913,0.344106,0.905767
323,2.691667,0.361911,0.344103,0.905767
324,2.700000,0.361912,0.344102,0.905761
325,2.708333,0.361916,0.344101,0.905769
326,2.716667,0.361920,0.344102,0.905765
