Format Version,1.21,Take Name,monitor_elore,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 02.03.52 PM,Total Frames in Take,2271,Total Exported Frames,2271,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
134,1.116667,0.362011,0.337658,0.279705
135,1.125000,0.362014,0.337627,0.279841
136,1.133333,0.362005,0.337616,0.279972
137,1.141667,0.362014,0.337600,0.280070
138,1.150000,0.362015,0.337575,0.280107
139,1.158333,0.362011,0.337582,0.280091
140,1.166667,0.362013,0.337603,0.280003
141,1.175000,0.362013,0.337625,0.279882
142,1.183333,0.362022,0.337645,0.279764
143,1.191667,0.362017,0.337667,0.279676
144,1.200000,0.362017,0.337673,0.279651
145,1.208333,0.362018,0.337651,0.279712
146,1.216667,0.362016,0.337631,0.279818
147,1.225000,0.362014,0.337624,0.279925
148,1.233333,0.362017,0.337606,0.280009
149,1.241667,0.362011,0.337595,0.280057
150,1.250000,0.362017,0.337591,0.280045
151,1.258333,0.362017,0.337609,0.279995
152,1.266667,0.362013,0.337628,0.279912
153,1.275000,0.362016,0.337635,0.279820
154,1.283333,0.362013,0.337642,0.279740
155,1.291667,0.362019,0.337655,0.279707
156,1.300000,0.362024,0.337672,0.279730
157,1.308333,0.362019,0.337648,0.279794
158,1.316667,0.362017,0.337631,0.279881
159,1.325000,0.362009,0.337623,0.279962
160,1.333333,0.362015,0.337621,0.280011
161,1.341667,0.362018,0.337613,0.280015
162,1.350000,0.362014,0.337619,0.279978
163,1.358333,0.362014,0.337634,0.279909
164,1.366667,0.362013,0.337641,0.279839
165,1.375000,0.362013,0.337653,0.279774
166,1.383333,0.362014,0.337661,0.279748
167,1.391667,0.362016,0.337660,0.279755
168,1.400000,0.362011,0.337652,0.279796
169,1.408333,0.362014,0.337637,0.279859
170,1.416667,0.362021,0.337628,0.279923
171,1.425000,0.362017,0.337620,0.279970
172,1.433333,0.362017,0.337615,0.279984
173,1.441667,0.362013,0.337614,0.279963
174,1.450000,0.362015,0.337623,0.279919
175,1.458333,0.362007,0.337641,0.279854
176,1.466667,0.362013,0.337654,0.279794
177,1.475000,0.362015,0.337647,0.279767
178,1.483333,0.362013,0.337650,0.279780
179,1.491667,0.362013,0.337649,0.279811
180,1.500000,0.362008,0.337640,0.279866
181,1.508333,0.362014,0.337629,0.279911
182,1.516667,0.362013,0.337625,0.279949
183,1.525000,0.362015,0.337618,0.279958
184,1.533333,0.362018,0.337618,0.279946
185,1.541667,0.362015,0.337627,0.279913
186,1.550000,0.362013,0.337641,0.279865
187,1.558333,0.362012,0.337648,0.279826
188,1.566667,0.362016,0.337646,0.279797
189,1.575000,0.362018,0.337647,0.279795
190,1.583333,0.362016,0.337650,0.279818
191,1.591667,0.362015,0.337641,0.279858
192,1.600000,0.362013,0.337620,0.279908
193,1.608333,0.362016,0.337625,0.279943
194,1.616667,0.362015,0.337628,0.279948
195,1.625000,0.362017,0.337627,0.279933
196,1.633333,0.362016,0.337624,0.279911
197,1.641667,0.362017,0.337639,0.279878
198,1.650000,0.362013,0.337642,0.279835
199,1.658333,0.362017,0.337649,0.279807
200,1.666667,0.362016,0.337644,0.279817
201,1.675000,0.362010,0.337646,0.279836
202,1.683333,0.362014,0.337639,0.279866
203,1.691667,0.362016,0.337634,0.279892
204,1.700000,0.362012,0.337629,0.279925
205,1.708333,0.362014,0.337626,0.279934
206,1.716667,0.362016,0.337626,0.279929
207,1.725000,0.362016,0.337636,0.279902
208,1.733333,0.362021,0.337638,0.279870
209,1.741667,0.362017,0.337640,0.279841
210,1.750000,0.362013,0.337645,0.279829
211,1.758333,0.362013,0.337645,0.279829
212,1.766667,0.362016,0.337638,0.279846
213,1.775000,0.362016,0.337635,0.279870
214,1.783333,0.362018,0.337639,0.279894
215,1.791667,0.362014,0.337627,0.279912
216,1.800000,0.362016,0.337632,0.279921
217,1.808333,0.362020,0.337637,0.279920
218,1.816667,0.362018,0.337633,0.279902
219,1.825000,0.362019,0.337637,0.279876
220,1.833333,0.362012,0.337637,0.279850
221,1.841667,0.362020,0.337649,0.279834
222,1.850000,0.362018,0.337646,0.279841
223,1.858333,0.362017,0.337642,0.279850
224,1.866667,0.362011,0.337635,0.279875
225,1.875000,0.362011,0.337634,0.279893
226,1.883333,0.362018,0.337634,0.279909
227,1.891667,0.362022,0.337632,0.279913
228,1.900000,0.362014,0.337627,0.279907
229,1.908333,0.362012,0.337635,0.279891
230,1.916667,0.362014,0.337640,0.279870
231,1.925000,0.362011,0.337645,0.279856
232,1.933333,0.362020,0.337645,0.279847
233,1.941667,0.362014,0.337642,0.279852
234,1.950000,0.362013,0.337640,0.279863
235,1.958333,0.362022,0.337636,0.279872
236,1.966667,0.362016,0.337637,0.279894
237,1.975000,0.362016,0.337636,0.279906
238,1.983333,0.362014,0.337633,0.279909
239,1.991667,0.362016,0.337632,0.279899
240,2.000000,0.362021,0.337632,0.279887
241,2.008333,0.362014,0.337638,0.279873
242,2.016667,0.362016,0.337644,0.279857
243,2.025000,0.362017,0.337644,0.279858
244,2.033333,0.362016,0.337640,0.279851
245,2.041667,0.362017,0.337637,0.279867
246,2.050000,0.362016,0.337640,0.279878
247,2.058333,0.362020,0.337640,0.279885
248,2.066667,0.362018,0.337635,0.279902
249,2.075000,0.362018,0.337641,0.279900
250,2.083333,0.362013,0.337635,0.279898
251,2.091667,0.362016,0.337639,0.279885
252,2.100000,0.362018,0.337641,0.279874
253,2.108333,0.362013,0.337639,0.279866
254,2.116667,0.362020,0.337640,0.279852
255,2.125000,0.362013,0.337640,0.279861
256,2.133333,0.362013,0.337644,0.279869
257,2.141667,0.362019,0.337641,0.279882
258,2.150000,0.362018,0.337638,0.279893
259,2.158333,0.362018,0.337631,0.279898
260,2.166667,0.362014,0.337630,0.279895
261,2.175000,0.362014,0.337635,0.279892
262,2.183333,0.362017,0.337639,0.279888
263,2.191667,0.362015,0.337640,0.279875
264,2.200000,0.362017,0.337637,0.279866
265,2.208333,0.362016,0.337638,0.279860
266,2.216667,0.362017,0.337642,0.279865
267,2.225000,0.362018,0.337640,0.279875
268,2.233333,0.362013,0.337633,0.279880
269,2.241667,0.362011,0.337631,0.279885
270,2.250000,0.362015,0.337641,0.279894
271,2.258333,0.362016,0.337640,0.279897
272,2.266667,0.362022,0.337631,0.279888
273,2.275000,0.362016,0.337636,0.279880
274,2.283333,0.362020,0.337647,0.279871
275,2.291667,0.362014,0.337644,0.279872
276,2.300000,0.362014,0.337640,0.279864
277,2.308333,0.362015,0.337639,0.279871
278,2.316667,0.362021,0.337639,0.279877
279,2.325000,0.362016,0.337639,0.279885
280,2.333333,0.362020,0.337638,0.279889
281,2.341667,0.362014,0.337641,0.279888
282,2.350000,0.362014,0.337640,0.279894
283,2.358333,0.362016,0.337640,0.279886
284,2.366667,0.362018,0.337643,0.279877
285,2.375000,0.362016,0.337642,0.279871
286,2.383333,0.362012,0.337640,0.279872
287,2.391667,0.362015,0.337639,0.279869
288,2.400000,0.362013,0.337639,0.279878
289,2.408333,0.362017,0.337647,0.279883
290,2.416667,0.362016,0.337637,0.279886
291,2.425000,0.362014,0.337636,0.279888
292,2.433333,0.362016,0.337634,0.279888
293,2.441667,0.362019,0.337638,0.279889
294,2.450000,0.362011,0.337643,0.279883
295,2.458333,0.362014,0.337641,0.279880
296,2.466667,0.362011,0.337645,0.279876
297,2.475000,0.362015,0.337640,0.279873
298,2.483333,0.362015,0.337639,0.279877
299,2.491667,0.362013,0.337640,0.279874
300,2.500000,0.362011,0.337645,0.279882
301,2.508333,0.362013,0.337639,0.279885
302,2.516667,0.362014,0.337638,0.279889
303,2.525000,0.362015,0.337636,0.279888
304,2.533333,0.362010,0.337643,0.279883
305,2.541667,0.362015,0.337644,0.279884
306,2.550000,0.362013,0.337633,0.279874
307,2.558333,0.362014,0.337640,0.279875
308,2.566667,0.362008,0.337649,0.279877
309,2.575000,0.362014,0.337648,0.279876
310,2.583333,0.362018,0.337636,0.279872
311,2.591667,0.362014,0.337640,0.279881
312,2.600000,0.362010,0.337644,0.279888
313,2.608333,0.362013,0.337644,0.279886
314,2.616667,0.362015,0.337630,0.279886
315,2.625000,0.362012,0.337641,0.279890
316,2.633333,0.362011,0.337644,0.279881
317,2.641667,0.362012,0.337634,0.279876
318,2.650000,0.362017,0.337634,0.279875
319,2.658333,0.362010,0.337643,0.279877
320,2.666667,0.362014,0.337644,0.279882
321,2.675000,0.362011,0.337639,0.279877
322,2.683333,0.362015,0.337637,0.279876
323,2.691667,0.362013,0.337640,0.279883
324,2.700000,0.362017,0.337641,0.279886
325,2.708333,0.362013,0.337638,0.279884
326,2.716667,0.362015,0.337635,0.279883
327,2.725000,0.362014,0.337645,0.279882
328,2.733333,0.362011,0.337648,0.279876
329,2.741667,0.362010,0.337640,0.279877
330,2.750000,0.362017,0.337632,0.279876
331,2.758333,0.362018,0.337649,0.279880
332,2.766667,0.362012,0.337651,0.279880
333,2.775000,0.362019,0.337640,0.279882
334,2.783333,0.362018,0.337632,0.279885
335,2.791667,0.362016,0.337643,0.279888
336,2.800000,0.362015,0.337643,0.279881
337,2.808333,0.362018,0.337646,0.279880
338,2.816667,0.362015,0.337635,0.279878
339,2.825000,0.362012,0.337643,0.279878
340,2.833333,0.362013,0.337645,0.279873
341,2.841667,0.362019,0.337645,0.279877
342,2.850000,0.362009,0.337640,0.279878
343,2.858333,0.362013,0.337639,0.279874
344,2.866667,0.362014,0.337642,0.279882
345,2.875000,0.362017,0.337635,0.279882
346,2.883333,0.362014,0.337640,0.279889
347,2.891667,0.362011,0.337643,0.279882
348,2.900000,0.362015,0.337639,0.279879
349,2.908333,0.362011,0.337640,0.279879
350,2.916667,0.362012,0.337640,0.279881
351,2.925000,0.362014,0.337640,0.279875
352,2.933333,0.362012,0.337645,0.279870
353,2.941667,0.362014,0.337645,0.279880
354,2.950000,0.362014,0.337643,0.279884
355,2.958333,0.362016,0.337638,0.279885
356,2.966667,0.362017,0.337643,0.279878
357,2.975000,0.362016,0.337644,0.279884
358,2.983333,0.362016,0.337643,0.279883
359,2.991667,0.362016,0.337637,0.279884
360,3.000000,0.362015,0.337646,0.279876
