Format Version,1.21,Take Name,mineral_water_elore,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 01.25.39 PM,Total Frames in Take,1790,Total Exported Frames,1790,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
134,1.116667,0.367814,0.342413,0.723506
135,1.125000,0.367824,0.342414,0.723498
136,1.133333,0.367812,0.342419,0.723475
137,1.141667,0.367811,0.342416,0.723443
138,1.150000,0.367821,0.342423,0.723419
139,1.158333,0.367820,0.342419,0.723404
140,1.166667,0.367812,0.342433,0.723412
141,1.175000,0.367815,0.342422,0.723423
142,1.183333,0.367819,0.342413,0.723454
143,1.191667,0.367821,0.342408,0.723475
144,1.200000,0.367825,0.342409,0.723487
145,1.208333,0.367825,0.342401,0.723492
146,1.216667,0.367826,0.342403,0.723492
147,1.225000,0.367827,0.342404,0.723467
148,1.233333,0.367829,0.342409,0.723443
149,1.241667,0.367834,0.342412,0.723423
150,1.250000,0.367830,0.342414,0.723407
151,1.258333,0.367837,0.342412,0.723407
152,1.266667,0.367844,0.342406,0.723419
153,1.275000,0.367846,0.342409,0.723438
154,1.283333,0.367854,0.342403,0.723457
155,1.291667,0.367860,0.342401,0.723470
156,1.300000,0.367857,0.342402,0.723474
157,1.308333,0.367868,0.342399,0.723463
158,1.316667,0.367864,0.342404,0.723445
159,1.325000,0.367862,0.342407,0.723428
160,1.333333,0.367858,0.342411,0.723410
161,1.341667,0.367864,0.342420,0.723401
162,1.350000,0.367865,0.342413,0.723397
163,1.358333,0.367861,0.342405,0.723409
164,1.366667,0.367859,0.342409,0.723421
165,1.375000,0.367862,0.342411,0.723441
166,1.383333,0.367869,0.342400,0.723447
167,1.391667,0.367863,0.342403,0.723457
168,1.400000,0.367866,0.342412,0.723451
169,1.408333,0.367867,0.342405,0.723436
170,1.416667,0.367866,0.342411,0.723428
171,1.425000,0.367872,0.342404,0.723412
172,1.433333,0.367865,0.342410,0.723405
173,1.441667,0.367865,0.342410,0.723408
174,1.450000,0.367865,0.342409,0.723402
175,1.458333,0.367866,0.342411,0.723414
176,1.466667,0.367863,0.342407,0.723431
177,1.475000,0.367867,0.342399,0.723441
178,1.483333,0.367863,0.342401,0.723446
179,1.491667,0.367864,0.342408,0.723447
180,1.500000,0.367870,0.342400,0.723441
181,1.508333,0.367867,0.342400,0.723432
182,1.516667,0.367869,0.342411,0.723417
183,1.525000,0.367867,0.342413,0.723405
184,1.533333,0.367874,0.342410,0.723399
185,1.541667,0.367868,0.342404,0.723405
186,1.550000,0.367867,0.342408,0.723418
187,1.558333,0.367867,0.342407,0.723425
188,1.566667,0.367877,0.342403,0.723439
189,1.575000,0.367875,0.342393,0.723443
190,1.583333,0.367867,0.342403,0.723441
