Format Version,1.21,Take Name,chair_hatra_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 12.10.50 AM,Total Frames in Take,1753,Total Exported Frames,1753,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001
,,"8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389"
,,Position,Position,Position
Frame,Time,X,Y,Z
134,1.116667,0.358341,0.342329,0.929069
135,1.125000,0.358347,0.342316,0.929072
136,1.133333,0.358351,0.342319,0.929065
137,1.141667,0.358348,0.342333,0.929064
138,1.150000,0.358352,0.342327,0.929052
139,1.158333,0.358357,0.342324,0.929042
140,1.166667,0.358356,0.342334,0.929037
141,1.175000,0.358366,0.342336,0.929043
142,1.183333,0.358368,0.342331,0.929046
143,1.191667,0.358370,0.342329,0.929058
144,1.200000,0.358381,0.342321,0.929073
145,1.208333,0.358374,0.342332,0.929083
146,1.216667,0.358384,0.342330,0.929074
147,1.225000,0.358391,0.342330,0.929065
148,1.233333,0.358391,0.342337,0.929054
149,1.241667,0.358394,0.342340,0.929050
150,1.250000,0.358396,0.342338,0.929039
151,1.258333,0.358402,0.342339,0.929037
152,1.266667,0.358402,0.342347,0.929043
153,1.275000,0.358404,0.342346,0.929060
154,1.283333,0.358417,0.342336,0.929063
155,1.291667,0.358424,0.342335,0.929069
156,1.300000,0.358418,0.342346,0.929068
157,1.308333,0.358423,0.342343,0.929064
158,1.316667,0.358436,0.342330,0.929065
159,1.325000,0.358437,0.342346,0.929045
160,1.333333,0.358434,0.342355,0.929045
161,1.341667,0.358438,0.342359,0.929041
162,1.350000,0.358446,0.342348,0.929039
163,1.358333,0.358445,0.342350,0.929051
164,1.366667,0.358445,0.342359,0.929059
165,1.375000,0.358450,0.342355,0.929066
166,1.383333,0.358459,0.342348,0.929062
167,1.391667,0.358468,0.342351,0.929062
168,1.400000,0.358463,0.342356,0.929048
169,1.408333,0.358465,0.342356,0.929046
170,1.416667,0.358470,0.342354,0.929035
171,1.425000,0.358468,0.342360,0.929036
172,1.433333,0.358464,0.342357,0.929035
173,1.441667,0.358469,0.342348,0.929045
174,1.450000,0.358475,0.342348,0.929052
175,1.458333,0.358479,0.342353,0.929056
176,1.466667,0.358470,0.342360,0.929059
177,1.475000,0.358470,0.342353,0.929061
178,1.483333,0.358474,0.342355,0.929053
179,1.491667,0.358476,0.342361,0.929046
180,1.500000,0.358479,0.342355,0.929031
181,1.508333,0.358469,0.342358,0.929032
182,1.516667,0.358470,0.342355,0.929031
183,1.525000,0.358470,0.342353,0.929046
184,1.533333,0.358471,0.342350,0.929050
185,1.541667,0.358472,0.342359,0.929056
186,1.550000,0.358477,0.342349,0.929059
187,1.558333,0.358472,0.342351,0.929057
188,1.566667,0.358479,0.342354,0.929051
189,1.575000,0.358474,0.342359,0.929049
190,1.583333,0.358471,0.342360,0.929038
191,1.591667,0.358473,0.342355,0.929042
192,1.600000,0.358467,0.342360,0.929042
193,1.608333,0.358473,0.342366,0.929042
194,1.616667,0.358478,0.342362,0.929049
195,1.625000,0.358475,0.342360,0.929050
196,1.633333,0.358475,0.342357,0.929058
197,1.641667,0.358472,0.342358,0.929059
198,1.650000,0.358471,0.342365,0.929052
199,1.658333,0.358474,0.342358,0.929048
200,1.666667,0.358471,0.342364,0.929046
201,1.675000,0.358478,0.342360,0.929037
202,1.683333,0.358476,0.342356,0.929037
203,1.691667,0.358474,0.342356,0.929042
204,1.700000,0.358473,0.342365,0.929052
205,1.708333,0.358475,0.342361,0.929050
206,1.716667,0.358471,0.342360,0.929053
207,1.725000,0.358468,0.342361,0.929051
208,1.733333,0.358474,0.342361,0.929054
209,1.741667,0.358471,0.342359,0.929053
210,1.750000,0.358475,0.342360,0.929043
211,1.758333,0.358474,0.342362,0.929037
212,1.766667,0.358477,0.342359,0.929043
213,1.775000,0.358475,0.342360,0.929047
214,1.783333,0.358473,0.342363,0.929045
215,1.791667,0.358473,0.342361,0.929050
216,1.800000,0.358481,0.342358,0.929057
217,1.808333,0.358476,0.342356,0.929060
218,1.816667,0.358481,0.342351,0.929057
219,1.825000,0.358481,0.342360,0.929047
220,1.833333,0.358482,0.342359,0.929045
