Format Version,1.21,Take Name,monitor_hatra_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 02.55.24 PM,Total Frames in Take,1875,Total Exported Frames,1875,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
134,1.116667,0.362674,0.335741,0.878749
135,1.125000,0.362680,0.335747,0.878748
136,1.133333,0.362690,0.335749,0.878749
137,1.141667,0.362689,0.335746,0.878751
138,1.150000,0.362691,0.335747,0.878744
139,1.158333,0.362701,0.335754,0.878738
140,1.166667,0.362705,0.335758,0.878734
141,1.175000,0.362707,0.335757,0.878736
142,1.183333,0.362702,0.335764,0.878735
143,1.191667,0.362712,0.335765,0.878737
144,1.200000,0.362704,0.335757,0.878741
145,1.208333,0.362711,0.335753,0.878744
146,1.216667,0.362711,0.335761,0.878743
147,1.225000,0.362713,0.335761,0.878746
148,1.233333,0.362711,0.335755,0.878743
149,1.241667,0.362710,0.335763,0.878738
150,1.250000,0.362711,0.335759,0.878739
151,1.258333,0.362714,0.335757,0.878738
152,1.266667,0.362715,0.335756,0.878734
153,1.275000,0.362710,0.335762,0.878736
154,1.283333,0.362713,0.335766,0.878741
155,1.291667,0.362711,0.335761,0.878740
156,1.300000,0.362711,0.335758,0.878742
157,1.308333,0.362711,0.335760,0.878743
158,1.316667,0.362714,0.335759,0.878744
159,1.325000,0.362714,0.335757,0.878740
160,1.333333,0.362716,0.335760,0.878743
161,1.341667,0.362710,0.335761,0.878736
162,1.350000,0.362712,0.335761,0.878734
163,1.358333,0.362716,0.335759,0.878745
164,1.366667,0.362715,0.335762,0.878738
165,1.375000,0.362712,0.335766,0.878740
166,1.383333,0.362712,0.335762,0.878742
167,1.391667,0.362715,0.335758,0.878745
168,1.400000,0.362710,0.335761,0.878743
169,1.408333,0.362716,0.335764,0.878742
170,1.416667,0.362718,0.335760,0.878738
171,1.425000,0.362713,0.335763,0.878737
172,1.433333,0.362716,0.335764,0.878737
173,1.441667,0.362715,0.335763,0.878739
174,1.450000,0.362719,0.335762,0.878740
175,1.458333,0.362713,0.335767,0.878742
176,1.466667,0.362715,0.335763,0.878739
177,1.475000,0.362710,0.335763,0.878747
178,1.483333,0.362715,0.335754,0.878741
179,1.491667,0.362711,0.335764,0.878740
180,1.500000,0.362709,0.335765,0.878742
181,1.508333,0.362716,0.335761,0.878740
182,1.516667,0.362713,0.335761,0.878741
183,1.525000,0.362714,0.335766,0.878738
184,1.533333,0.362715,0.335768,0.878736
185,1.541667,0.362717,0.335764,0.878739
186,1.550000,0.362709,0.335765,0.878739
187,1.558333,0.362716,0.335765,0.878746
188,1.566667,0.362712,0.335765,0.878746
189,1.575000,0.362717,0.335765,0.878742
190,1.583333,0.362711,0.335762,0.878742
191,1.591667,0.362713,0.335766,0.878740
192,1.600000,0.362716,0.335762,0.878736
193,1.608333,0.362711,0.335764,0.878738
194,1.616667,0.362712,0.335765,0.878737
195,1.625000,0.362715,0.335769,0.878741
196,1.633333,0.362714,0.335765,0.878741
197,1.641667,0.362712,0.335762,0.878740
198,1.650000,0.362717,0.335760,0.878739
199,1.658333,0.362712,0.335766,0.878745
200,1.666667,0.362714,0.335760,0.878743
201,1.675000,0.362716,0.335764,0.878737
202,1.683333,0.362718,0.335763,0.878739
203,1.691667,0.362714,0.335763,0.878740
204,1.700000,0.362721,0.335765,0.878738
205,1.708333,0.362714,0.335759,0.878739
206,1.716667,0.362712,0.335761,0.878737
207,1.725000,0.362715,0.335761,0.878743
208,1.733333,0.362715,0.335762,0.878738
209,1.741667,0.362715,0.335758,0.878738
210,1.750000,0.362714,0.335761,0.878746
211,1.758333,0.362717,0.335761,0.878740
212,1.766667,0.362715,0.335760,0.878741
213,1.775000,0.362712,0.335761,0.878740
214,1.783333,0.362719,0.335764,0.878740
215,1.791667,0.362716,0.335763,0.878739
216,1.800000,0.362719,0.335765,0.878737
217,1.808333,0.362718,0.335767,0.878744
218,1.816667,0.362716,0.335759,0.878738
219,1.825000,0.362725,0.335756,0.878741
220,1.833333,0.362708,0.335768,0.878744
221,1.841667,0.362716,0.335769,0.878743
222,1.850000,0.362714,0.335761,0.878740
223,1.858333,0.362719,0.335762,0.878743
224,1.866667,0.362710,0.335764,0.878740
225,1.875000,0.362718,0.335759,0.878741
226,1.883333,0.362715,0.335763,0.878742
227,1.891667,0.362715,0.335764,0.878742
228,1.900000,0.362712,0.335771,0.878744
229,1.908333,0.362715,0.335762,0.878741
230,1.916667,0.362717,0.335757,0.878743
231,1.925000,0.362714,0.335762,0.878745
232,1.933333,0.362715,0.335762,0.878744
233,1.941667,0.362716,0.335763,0.878741
234,1.950000,0.362714,0.335764,0.878746
235,1.958333,0.362715,0.335770,0.878743
236,1.966667,0.362717,0.335764,0.878739
237,1.975000,0.362716,0.335760,0.878742
238,1.983333,0.362721,0.335761,0.878743
239,1.991667,0.362714,0.335772,0.878747
240,2.000000,0.362715,0.335771,0.878742
241,2.008333,0.362716,0.335765,0.878741
242,2.016667,0.362720,0.335770,0.878743
243,2.025000,0.362723,0.335764,0.878742
244,2.033333,0.362722,0.335767,0.878741
